iteration; levels; best; avg; dev
81; 64; 67; 70.3799; 0.9025
82; 65; 67; 70.372; 0.901202
83; 66; 66; 70.3117; 0.888291
84; 66; 66; 70.1971; 0.931263
85; 67; 66; 70.2015; 0.938682
86; 68; 66; 70.1215; 0.928294
87; 68; 65; 70.0185; 0.9306
88; 68; 65; 69.9943; 0.937814
89; 68; 65; 69.9674; 0.94905
90; 69; 65; 69.9315; 0.96884
91; 69; 65; 69.8101; 0.995177
92; 70; 65; 69.7904; 1.00153
93; 71; 65; 69.71; 0.989431
94; 72; 65; 69.6358; 0.974945
95; 73; 65; 69.5571; 0.967075
96; 73; 65; 69.4896; 0.953248
97; 73; 65; 69.4851; 0.952305
98; 74; 65; 69.4709; 0.957323
99; 75; 65; 69.4017; 0.946528
100; 75; 65; 69.3272; 0.938023
iteration; levels; best; avg; dev
0; 1; 83; 0; 0
1; 1; 83; 83; 0
2; 2; 82; 84.5; 1.5
3; 3; 81; 83.25; 1.5
4; 4; 80; 82.5; 1
5; 5; 80; 82; 0.75
6; 6; 76; 81.4; 0.786504
7; 6; 76; 79.9222; 1.22119
8; 7; 75; 79.9028; 1.40933
9; 8; 75; 79.0959; 1.21168
10; 9; 74; 78.5281; 1.06787
11; 10; 74; 77.9617; 0.957905
12; 11; 74; 77.5305; 0.824757
13; 12; 72; 77.1754; 0.720645
14; 13; 72; 76.6456; 0.761202
15; 13; 72; 76.271; 0.684859
16; 14; 72; 76.2612; 0.666905
17; 15; 72; 75.9465; 0.608695
18; 16; 72; 75.68; 0.557695
19; 17; 72; 75.4165; 0.534957
20; 18; 72; 75.2052; 0.501781
21; 19; 72; 75.0076; 0.471408
22; 20; 72; 74.8392; 0.445173
23; 21; 71; 74.6821; 0.437377
24; 22; 71; 74.4421; 0.515141
25; 22; 71; 74.2496; 0.513808
26; 23; 71; 74.2252; 0.51477
27; 24; 70; 74.0613; 0.493284
28; 24; 70; 73.8154; 0.56237
29; 25; 70; 73.7927; 0.656381
30; 26; 70; 73.6047; 0.641459
31; 27; 70; 73.4289; 0.627621
32; 28; 69; 73.2743; 0.60615
33; 28; 69; 73.0385; 0.66695
34; 29; 69; 73.0559; 0.68314
35; 30; 69; 72.9021; 0.666711
36; 31; 69; 72.7649; 0.644678
37; 32; 69; 72.6435; 0.621709
38; 33; 69; 72.5214; 0.601284
39; 34; 69; 72.4109; 0.581216
40; 35; 69; 72.3063; 0.563725
41; 36; 69; 72.208; 0.548853
