iteration; levels; best; avg; dev
60; 27; 62; 66.2415; 0.957596
61; 27; 62; 66.2084; 0.954949
62; 27; 62; 66.1988; 0.954572
63; 28; 61; 66.1779; 0.958736
64; 28; 61; 65.9462; 0.968711
65; 28; 61; 65.9442; 0.995458
66; 28; 61; 65.9394; 0.991805
67; 28; 61; 65.8855; 1.01264
68; 28; 61; 65.8838; 1.0125
69; 29; 61; 65.8554; 1.01719
70; 29; 61; 65.6692; 0.990488
71; 29; 61; 65.6727; 1.00199
72; 30; 61; 65.6635; 0.999086
73; 31; 61; 65.4544; 0.968039
74; 32; 61; 65.2858; 0.944509
75; 33; 61; 65.1339; 0.907961
76; 34; 61; 64.9787; 0.884601
77; 35; 60; 64.8351; 0.859124
78; 35; 60; 64.636; 0.918975
79; 35; 60; 64.6463; 0.932913
80; 36; 60; 64.6142; 0.938142
81; 37; 59; 64.466; 0.907538
82; 37; 59; 64.2255; 0.963178
83; 38; 59; 64.2115; 0.989715
84; 38; 59; 64.0528; 0.971843
85; 39; 59; 64.04; 0.969541
86; 40; 59; 63.8977; 0.944977
87; 41; 59; 63.7419; 0.923618
88; 42; 59; 63.593; 0.908881
89; 43; 59; 63.4552; 0.88696
90; 44; 58; 63.3192; 0.868441
91; 44; 58; 63.1199; 0.926446
92; 44; 58; 63.1178; 0.937881
iteration; levels; best; avg; dev
0; 1; 76; 0; 0
1; 1; 76; 76; 0
2; 2; 76; 79.5; 3.5
3; 3; 74; 77.75; 3.5
4; 4; 70; 76.3333; 2.5
5; 5; 70; 74.0417; 2.3118
6; 6; 70; 73.15; 1.74877
7; 7; 69; 72.6833; 1.37304
8; 8; 69; 72.0238; 1.24796
9; 9; 69; 71.4613; 1.16705
10; 10; 68; 71.175; 1.06809
11; 11; 68; 70.845; 0.943493
12; 11; 68; 70.6182; 0.887132
13; 12; 68; 70.6408; 0.873484
14; 13; 67; 70.3978; 0.795044
15; 14; 67; 70.0842; 0.757352
16; 15; 67; 69.8073; 0.790557
17; 16; 66; 69.534; 0.857363
18; 16; 66; 69.2182; 0.871944
19; 17; 65; 69.2584; 0.898079
20; 18; 64; 68.9162; 0.928286
21; 18; 64; 68.5407; 0.982861
22; 19; 64; 68.5338; 1.02177
23; 20; 63; 68.2362; 0.998356
24; 20; 63; 67.9108; 0.96714
25; 21; 63; 67.9129; 0.998024
26; 21; 63; 67.6734; 0.943296
27; 21; 63; 67.6746; 0.962111
28; 22; 63; 67.652; 0.961637
29; 22; 63; 67.4142; 0.911513
30; 23; 63; 67.4118; 0.925945
31; 24; 63; 67.208; 0.87618
32; 24; 63; 66.9858; 0.855403
33; 25; 63; 66.9661; 0.851051
34; 25; 63; 66.7808; 0.812889
35; 26; 63; 66.763; 0.81343
36; 26; 63; 66.5732; 0.807637
37; 26; 63; 66.568; 0.803448
38; 27; 63; 66.5583; 0.79922
39; 28; 63; 66.4069; 0.771847
40; 29; 63; 66.2783; 0.742766
41; 30; 63; 66.1568; 0.716919
42; 31; 63; 66.0369; 0.693418
43; 32; 62; 65.9386; 0.668682
44; 33; 61; 65.7364; 0.766959
45; 33; 61; 65.4984; 0.832129
46; 34; 61; 65.5106; 0.847858
47; 35; 61; 65.3456; 0.822784
48; 35; 61; 65.1971; 0.80183
49; 36; 61; 65.1547; 0.814039
50; 37; 61; 65.0043; 0.795456
51; 37; 61; 64.8858; 0.772487
52; 38; 60; 64.8743; 0.768661
53; 38; 60; 64.7145; 0.793404
54; 39; 60; 64.7079; 0.805891
55; 39; 60; 64.5676; 0.783983
56; 40; 60; 64.5673; 0.792517
57; 40; 60; 64.4243; 0.772036
58; 41; 60; 64.4051; 0.766279
59; 42; 60; 64.2692; 0.75277
60; 42; 60; 64.1417; 0.73956
61; 43; 60; 64.1299; 0.738152
62; 44; 60; 64.0157; 0.721788
63; 45; 60; 63.9131; 0.703959
64; 46; 60; 63.8142; 0.687513
65; 47; 60; 63.7038; 0.686301
66; 48; 60; 63.6205; 0.670967
67; 48; 60; 63.5386; 0.655319
68; 49; 60; 63.5294; 0.658907
69; 50; 60; 63.4495; 0.646297
70; 50; 60; 63.3699; 0.634476
71; 51; 60; 63.3658; 0.633457
72; 51; 60; 63.2915; 0.621401
73; 52; 60; 63.2891; 0.62036
74; 52; 60; 63.2165; 0.609334
75; 53; 60; 63.2097; 0.609903
76; 54; 60; 63.1373; 0.602675
77; 55; 59; 63.0696; 0.592606
78; 55; 59; 62.9779; 0.598176
79; 55; 59; 62.9802; 0.607749
80; 55; 59; 62.969; 0.611038
81; 55; 59; 62.9627; 0.610842
82; 56; 59; 62.9584; 0.609918
83; 57; 59; 62.8816; 0.598876
84; 57; 59; 62.7846; 0.649238
85; 58; 59; 62.7812; 0.650123
86; 58; 59; 62.7127; 0.63813
87; 59; 59; 62.6977; 0.644786
88; 60; 59; 62.6292; 0.63335
89; 60; 59; 62.5609; 0.627543
90; 61; 59; 62.5483; 0.635303
91; 62; 59; 62.4824; 0.62773
92; 63; 59; 62.4192; 0.61968
93; 64; 59; 62.3611; 0.60876
94; 64; 59; 62.3039; 0.599654
iteration; levels; best; avg; dev
0; 1; 90; 0; 0
1; 1; 86; 90; 0
2; 2; 84; 88; 2
3; 3; 72; 86; 2
4; 3; 72; 79.5; 3.16667
5; 4; 71; 80.1667; 4.07091
6; 5; 71; 77.2917; 3.28623
7; 6; 70; 76.4733; 2.71235
8; 6; 69; 75.4444; 2.2398
9; 6; 69; 75.4722; 2.23967
10; 7; 69; 75.4306; 2.17038
11; 7; 69; 74.5048; 1.82583
12; 8; 68; 74.4762; 1.7363
13; 8; 68; 73.619; 1.55077
14; 9; 67; 73.6146; 1.61638
15; 9; 67; 72.8309; 1.46827
16; 10; 67; 72.9238; 1.55218
17; 11; 67; 72.3012; 1.38497
18; 11; 67; 71.8392; 1.23072
19; 12; 67; 71.8192; 1.21015
20; 13; 67; 71.3923; 1.0997
21; 13; 67; 71.0381; 1.00007
22; 14; 67; 71.0665; 1.00453
23; 15; 65; 70.7625; 0.912582
24; 16; 65; 70.2403; 1.06679
25; 16; 65; 69.8135; 1.03698
26; 16; 65; 69.8148; 1.02695
27; 17; 65; 69.805; 1.01385
28; 18; 65; 69.5075; 0.942002
29; 19; 65; 69.2565; 0.873736
30; 19; 65; 69.0275; 0.815592
31; 20; 64; 69.0174; 0.809409
32; 20; 64; 68.6763; 0.882245
33; 20; 64; 68.6791; 0.917774
34; 20; 64; 68.6716; 0.918232
35; 21; 64; 68.6614; 0.91627
36; 21; 64; 68.3828; 0.89153
37; 22; 64; 68.3815; 0.883316
38; 23; 64; 68.1655; 0.838629
39; 24; 64; 67.9708; 0.804696
