temp; best; diff
8.06113e-09; -115615; -1824.58
7.66797e-09; -115615; -758.018
7.29398e-09; -115615; -5118.93
6.93823e-09; -115615; -6801.9
6.59983e-09; -115615; -22403.8
6.27794e-09; -115615; -9400.88
5.97174e-09; -115615; 0
5.68048e-09; -115615; -19330.7
5.40343e-09; -115615; -25229.2
5.13989e-09; -115615; -17196
4.8892e-09; -115615; -18039.3
4.65074e-09; -115615; -29081.7
4.42391e-09; -115615; -29797.4
4.20814e-09; -115615; -17671.1
4.0029e-09; -115615; -9963.53
3.80767e-09; -115615; -4252.67
3.62195e-09; -115615; -3353.09
3.4453e-09; -115615; -27111.3
3.27726e-09; -115615; -4835.31
3.11742e-09; -115615; -17565.8
2.96538e-09; -115615; -26829.9
2.82075e-09; -115615; -23421.7
2.68317e-09; -115615; -1773.66
2.5523e-09; -115615; -21346.1
2.42782e-09; -115615; -12076.9
2.30941e-09; -115615; -27475.3
2.19677e-09; -115615; -16061.9
2.08963e-09; -115615; -29973.1
1.98771e-09; -115615; -13749
1.89076e-09; -115615; -24959.7
1.79855e-09; -115615; -13834.5
1.71083e-09; -115615; -15197.5
1.62738e-09; -115615; -7539.4
1.54801e-09; -115615; -24888.4
1.47251e-09; -115615; -20615.5
1.40069e-09; -115615; -11926.2
1.33238e-09; -115615; -15108.3
1.26739e-09; -115615; -15400.5
1.20558e-09; -115615; -22694.9
1.14678e-09; -115615; -16985
1.09085e-09; -115615; -30097.7
1.03764e-09; -115615; -26824.5
9.87034e-10; -115615; -16858.7
9.38893e-10; -115615; -5383.63
8.931e-10; -115615; -28392
8.49541e-10; -115615; -16912.7
8.08107e-10; -115615; -40165
7.68693e-10; -115615; -31789.1
7.31201e-10; -115615; -7271.91
6.95539e-10; -115615; -22002.5
6.61615e-10; -115615; -11924.6
6.29346e-10; -115615; -24836.9
5.98651e-10; -115615; -20935.1
5.69453e-10; -115615; -13491.2
5.41679e-10; -115615; -25318.2
5.1526e-10; -115615; -11329.9
4.90129e-10; -115615; -25854.6
4.66224e-10; -115615; -17675.6
4.43485e-10; -115615; -14496.1
4.21855e-10; -115615; -16616.3
4.0128e-10; -115615; -25955.5
3.81708e-10; -115615; -19407.9
3.63091e-10; -115615; -21428.8
3.45382e-10; -115615; -4024.31
3.28537e-10; -115615; -7550.89
3.12513e-10; -115615; -1824.58
2.97271e-10; -115615; -20884.9
2.82772e-10; -115615; -14389.5
2.68981e-10; -115615; -24435.1
2.55862e-10; -115615; -40028.5
2.43382e-10; -115615; -16405.3
2.31512e-10; -115615; -15669.3
2.2022e-10; -115615; -2102.93
2.0948e-10; -115615; -15247.9
1.99263e-10; -115615; -19541.9
1.89544e-10; -115615; -4353.43
1.80299e-10; -115615; -23421.7
1.71506e-10; -115615; -23248
1.63141e-10; -115615; -24087.4
1.55184e-10; -115615; -12615.6
1.47615e-10; -115615; -41192
1.40416e-10; -115615; -50.9319
1.33567e-10; -115615; -3642.05
1.27053e-10; -115615; -12908.1
1.20856e-10; -115615; -3426.26
1.14961e-10; -115615; -29081.7
1.09354e-10; -115615; -4226.75
1.04021e-10; -115615; -6600.29
9.89475e-11; -115615; -5448.45
9.41215e-11; -115615; -14754.2
8.95309e-11; -115615; -12880.7
8.51642e-11; -115615; -16993.6
8.10105e-11; -115615; -12473.3
7.70594e-11; -115615; -24559
7.3301e-11; -115615; -49846.7
6.97259e-11; -115615; -24991.4
6.63251e-11; -115615; -22255.2
6.30903e-11; -115615; -16088.5
6.00132e-11; -115615; -25110.4
5.70862e-11; -115615; -30669.1
5.43019e-11; -115615; -2479.97
5.16534e-11; -115615; -22699.8
4.91341e-11; -115615; -15675.5
4.67377e-11; -115615; -24947.4
4.44582e-11; -115615; -13171.3
4.22898e-11; -115615; -16194.2
4.02272e-11; -115615; -19782.3
3.82652e-11; -115615; -16366
3.63989e-11; -115615; -16758.5
3.46236e-11; -115615; -23504.7
3.29349e-11; -115615; -27647.9
3.13286e-11; -115615; -20173.9
2.98006e-11; -115615; -715.097
2.83472e-11; -115615; -4265.99
2.69646e-11; -115615; -13096.8
2.56494e-11; -115615; -8034.79
2.43984e-11; -115615; -7526.73
2.32085e-11; -115615; -30984.5
2.20765e-11; -115615; -25926.4
2.09998e-11; -115615; -10876.1
1.99756e-11; -115615; -14963.6
1.90013e-11; -115615; 0
1.80745e-11; -115615; -11318.4
1.7193e-11; -115615; -23779.6
1.63544e-11; -115615; -17416
1.55568e-11; -115615; -3358.63
1.4798e-11; -115615; -15626.8
1.40763e-11; -115615; -27824.4
1.33897e-11; -115615; -13004.8
1.27367e-11; -115615; -15918.1
1.21155e-11; -115615; -33383.3
1.15246e-11; -115615; -11189.9
1.09625e-11; -115615; -19016.1
1.04278e-11; -115615; -6305.85
9.91922e-12; -115615; -11044.8
9.43543e-12; -115615; -16432.3
8.97523e-12; -115615; -23652.5
8.53749e-12; -115615; -17917.9
8.12109e-12; -115615; -11672.1
7.725e-12; -115615; -33727
7.34823e-12; -115615; -3554.46
6.98983e-12; -115615; -8282.87
6.64892e-12; -115615; -21046.9
6.32463e-12; -115615; -9179.04
6.01616e-12; -115615; -34329.9
5.72273e-12; -115615; -8377.78
5.44362e-12; -115615; -35759.6
5.17812e-12; -115615; -26700.2
4.92557e-12; -115615; -5275.43
4.68533e-12; -115615; -3906.12
4.45681e-12; -115615; -19014.1
4.23944e-12; -115615; -13426.9
4.03267e-12; -115615; -15953
3.83599e-12; -115615; -19527.3
3.64889e-12; -115615; -19511.5
3.47093e-12; -115615; -11142.9
3.30164e-12; -115615; -17171.3
3.14061e-12; -115615; -8653.24
2.98743e-12; -115615; -15255.5
2.84173e-12; -115615; -10574.3
2.70313e-12; -115615; -46748.1
2.57129e-12; -115615; -11843.9
2.44588e-12; -115615; -23856.6
2.32659e-12; -115615; -27582.9
2.21311e-12; -115615; -23267
2.10517e-12; -115615; 0
2.0025e-12; -115615; -20646.4
1.90483e-12; -115615; -15067
1.81192e-12; -115615; -15302.5
1.72355e-12; -115615; -24869.7
1.63949e-12; -115615; -18450.1
1.55953e-12; -115615; -17483.2
1.48346e-12; -115615; -20936.2
1.41111e-12; -115615; -17541.2
1.34229e-12; -115615; -15291.1
1.27682e-12; -115615; -17500.1
1.21454e-12; -115615; -38871.3
1.15531e-12; -115615; 0
1.09896e-12; -115615; -3460.37
1.04536e-12; -115615; -6326.39
9.94375e-13; -115615; -1345.22
9.45876e-13; -115615; -15708.7
8.99743e-13; -115615; 0
8.5586e-13; -115615; -6331.45
8.14117e-13; -115615; -16088.5
7.7441e-13; -115615; -16292.9
7.3664e-13; -115615; -23043.3
7.00712e-13; -115615; -46310.6
6.66536e-13; -115615; -27780.7
6.34027e-13; -115615; -38871.3
6.03104e-13; -115615; -11010.9
5.73689e-13; -115615; -16486.7
5.45708e-13; -115615; -20785.8
5.19092e-13; -115615; -20752.6
