it; best; temp
4850; 7; 1.38328e-06
4860; 7; 1.31566e-06
4870; 7; 1.25133e-06
4880; 7; 1.19016e-06
4890; 7; 1.13197e-06
4900; 7; 1.07663e-06
4910; 7; 1.02399e-06
4920; 7; 9.73929e-07
4930; 7; 9.26314e-07
4940; 7; 8.81026e-07
4950; 7; 8.37953e-07
4960; 7; 7.96986e-07
4970; 7; 7.58021e-07
4980; 7; 7.20962e-07
4990; 7; 6.85714e-07
5000; 7; 6.52189e-07
5010; 7; 6.20304e-07
5020; 7; 5.89977e-07
5030; 7; 5.61133e-07
5040; 7; 5.337e-07
5050; 7; 5.07607e-07
5060; 7; 4.8279e-07
5070; 7; 4.59187e-07
5080; 7; 4.36737e-07
5090; 7; 4.15385e-07
5100; 7; 3.95077e-07
5110; 7; 3.75762e-07
5120; 7; 3.57391e-07
5130; 7; 3.39918e-07
5140; 7; 3.233e-07
5150; 7; 3.07493e-07
5160; 7; 2.9246e-07
5170; 7; 2.78162e-07
5180; 7; 2.64562e-07
5190; 7; 2.51628e-07
5200; 7; 2.39326e-07
5210; 7; 2.27625e-07
5220; 7; 2.16497e-07
5230; 7; 2.05912e-07
5240; 7; 1.95845e-07
5250; 7; 1.8627e-07
5260; 7; 1.77164e-07
5270; 7; 1.68502e-07
5280; 7; 1.60264e-07
5290; 7; 1.52429e-07
5300; 7; 1.44977e-07
5310; 7; 1.37889e-07
5320; 7; 1.31147e-07
5330; 7; 1.24736e-07
5340; 7; 1.18637e-07
5350; 7; 1.12837e-07
5360; 7; 1.07321e-07
5370; 7; 1.02074e-07
5380; 7; 9.70833e-08
5390; 7; 9.23369e-08
5400; 7; 8.78225e-08
5410; 7; 8.35289e-08
5420; 7; 7.94452e-08
5430; 7; 7.55611e-08
5440; 7; 7.1867e-08
5450; 7; 6.83534e-08
5460; 7; 6.50116e-08
5470; 7; 6.18332e-08
5480; 7; 5.88102e-08
5490; 7; 5.5935e-08
5500; 7; 5.32003e-08
5510; 7; 5.05993e-08
5520; 7; 4.81256e-08
5530; 7; 4.57727e-08
5540; 7; 4.35349e-08
5550; 7; 4.14065e-08
5560; 7; 3.93821e-08
5570; 7; 3.74567e-08
5580; 7; 3.56255e-08
5590; 7; 3.38837e-08
5600; 7; 3.22272e-08
5610; 7; 3.06516e-08
5620; 7; 2.9153e-08
5630; 7; 2.77277e-08
5640; 7; 2.63721e-08
5650; 7; 2.50828e-08
5660; 7; 2.38565e-08
5670; 7; 2.26902e-08
